2016-01-17 20:01:52: Loss after num_examples_seen=0 epoch=0: 10.149163
2016-01-17 20:28:45: Loss after num_examples_seen=5000 epoch=1: 7.254037
2016-01-17 20:55:33: Loss after num_examples_seen=10000 epoch=2: 7.167736
2016-01-17 21:22:11: Loss after num_examples_seen=15000 epoch=3: 6.979001
2016-01-17 21:48:50: Loss after num_examples_seen=20000 epoch=4: 6.898722
2016-01-17 22:15:35: Loss after num_examples_seen=25000 epoch=5: 6.842310
2016-01-17 22:42:23: Loss after num_examples_seen=30000 epoch=6: 6.792876
2016-01-17 23:09:13: Loss after num_examples_seen=35000 epoch=7: 6.751207
2016-01-17 23:36:08: Loss after num_examples_seen=40000 epoch=8: 6.688606
2016-01-18 00:03:08: Loss after num_examples_seen=45000 epoch=9: 6.650451
2016-01-18 00:30:05: Loss after num_examples_seen=50000 epoch=10: 6.617244
2016-01-18 00:56:57: Loss after num_examples_seen=55000 epoch=11: 6.586963
2016-01-18 01:23:37: Loss after num_examples_seen=60000 epoch=12: 6.563034
2016-01-18 01:50:21: Loss after num_examples_seen=65000 epoch=13: 6.519995
2016-01-18 02:17:06: Loss after num_examples_seen=70000 epoch=14: 6.463041
2016-01-18 02:43:52: Loss after num_examples_seen=75000 epoch=15: 6.420767
2016-01-18 03:10:40: Loss after num_examples_seen=80000 epoch=16: 6.378806
2016-01-18 03:37:31: Loss after num_examples_seen=85000 epoch=17: 6.345196
2016-01-18 04:04:31: Loss after num_examples_seen=90000 epoch=18: 6.304454
2016-01-18 04:31:26: Loss after num_examples_seen=95000 epoch=19: 6.255062
2016-01-18 04:58:16: Loss after num_examples_seen=100000 epoch=20: 6.224669
2016-01-18 05:24:58: Loss after num_examples_seen=105000 epoch=21: 6.221067
2016-01-18 05:51:35: Loss after num_examples_seen=110000 epoch=22: 6.191973
2016-01-18 06:18:17: Loss after num_examples_seen=115000 epoch=23: 6.160817
2016-01-18 06:44:55: Loss after num_examples_seen=120000 epoch=24: 6.112911
2016-01-18 07:11:38: Loss after num_examples_seen=125000 epoch=25: 6.089790
2016-01-18 07:38:27: Loss after num_examples_seen=130000 epoch=26: 6.096535
2016-01-18 08:05:23: Loss after num_examples_seen=135000 epoch=27: 5.851330
2016-01-18 08:32:17: Loss after num_examples_seen=140000 epoch=28: 5.811691
2016-01-18 08:59:09: Loss after num_examples_seen=145000 epoch=29: 5.794286
2016-01-18 09:25:51: Loss after num_examples_seen=150000 epoch=30: 5.766263
2016-01-18 09:52:34: Loss after num_examples_seen=155000 epoch=31: 5.746117
2016-01-18 10:19:15: Loss after num_examples_seen=160000 epoch=32: 5.733570
2016-01-18 10:45:57: Loss after num_examples_seen=165000 epoch=33: 5.689007
2016-01-18 11:12:44: Loss after num_examples_seen=170000 epoch=34: 5.671459
2016-01-18 11:39:33: Loss after num_examples_seen=175000 epoch=35: 5.664646
2016-01-18 12:06:28: Loss after num_examples_seen=180000 epoch=36: 5.629734
2016-01-18 12:33:21: Loss after num_examples_seen=185000 epoch=37: 5.643326
2016-01-18 13:00:13: Loss after num_examples_seen=190000 epoch=38: 5.451624
2016-01-18 13:26:58: Loss after num_examples_seen=195000 epoch=39: 5.426670
2016-01-18 13:53:45: Loss after num_examples_seen=200000 epoch=40: 5.406980
2016-01-18 14:20:21: Loss after num_examples_seen=205000 epoch=41: 5.386985
2016-01-18 14:47:10: Loss after num_examples_seen=210000 epoch=42: 5.372257
2016-01-18 15:13:58: Loss after num_examples_seen=215000 epoch=43: 5.344608
2016-01-18 15:40:47: Loss after num_examples_seen=220000 epoch=44: 5.330267
2016-01-18 16:07:46: Loss after num_examples_seen=225000 epoch=45: 5.316479
2016-01-18 16:34:45: Loss after num_examples_seen=230000 epoch=46: 5.291773
2016-01-18 17:01:53: Loss after num_examples_seen=235000 epoch=47: 5.279228
